grid_id,cx,cy,max_rank,max_depth_cm,flood_ratio,exposure,priority
G03041,126.953983,37.399917,2.0,40.0,1.0,1.4,1.4
G03040,126.952853,37.399917,2.0,40.0,1.0,1.4,1.4
G03856,126.967553,37.409827,2.0,40.0,1.0,1.4,1.4
G03854,126.965291,37.409827,2.0,40.0,1.0,1.4,1.4
G03168,126.932498,37.401719,2.0,40.0,1.0,1.4,1.4
G02376,126.944937,37.391809,2.0,40.0,1.0,1.4,1.4
G02377,126.946068,37.391809,2.0,40.0,1.0,1.4,1.4
G02378,126.947199,37.391809,2.0,40.0,1.0,1.4,1.4
G02379,126.948329,37.391809,2.0,40.0,1.0,1.4,1.4
G02380,126.94946,37.391809,2.0,40.0,1.0,1.4,1.4
G02965,126.950591,37.399016,2.0,40.0,1.0,1.4,1.4
G02966,126.951722,37.399016,2.0,40.0,1.0,1.4,1.4
G02398,126.969814,37.391809,2.0,40.0,1.0,1.4,1.4
G02452,126.948329,37.39271,2.0,40.0,1.0,1.4,1.4
G03712,126.969814,37.408025,2.0,40.0,1.0,1.4,1.4
G02309,126.951722,37.390908,2.0,40.0,1.0,1.4,1.4
G02308,126.950591,37.390908,2.0,40.0,1.0,1.4,1.4
G03134,126.976599,37.400818,2.0,40.0,1.0,1.4,1.4
G03131,126.973207,37.400818,2.0,40.0,1.0,1.4,1.4
G02521,126.943806,37.393611,2.0,40.0,1.0,1.4,1.4
G03116,126.956245,37.400818,2.0,40.0,1.0,1.4,1.4
G02234,126.94946,37.390007,2.0,40.0,1.0,1.4,1.4
G02235,126.950591,37.390007,2.0,40.0,1.0,1.4,1.4
G02236,126.951722,37.390007,2.0,40.0,1.0,1.4,1.4
G03094,126.931368,37.400818,2.0,40.0,1.0,1.4,1.4
G03262,126.956245,37.40262,2.0,40.0,1.0,1.4,1.4
G03087,126.923452,37.400818,2.0,40.0,1.0,1.4,1.4
G03785,126.969814,37.408926,2.0,40.0,1.0,1.4,1.4
G03055,126.969814,37.399917,2.0,40.0,1.0,1.4,1.4
G03640,126.970945,37.407125,2.0,40.0,1.0,1.4,1.4
G02304,126.946068,37.390908,2.0,40.0,1.0,1.4,1.4
G02305,126.947199,37.390908,2.0,40.0,1.0,1.4,1.4
G02306,126.948329,37.390908,2.0,40.0,1.0,1.4,1.4
G02307,126.94946,37.390908,2.0,40.0,1.0,1.4,1.4
G03261,126.955114,37.40262,2.0,40.0,1.0,1.4,1.4
G02592,126.941545,37.394512,2.0,40.0,1.0,1.4,1.4
G04105,126.918929,37.413431,2.0,40.0,1.0,1.4,1.4
G01786,126.938152,37.384602,2.0,40.0,1.0,1.4,1.4
G04060,126.950591,37.41253,2.0,40.0,1.0,1.4,1.4
G03493,126.969814,37.405323,2.0,40.0,1.0,1.4,1.4
G02683,126.961899,37.395413,2.0,40.0,1.0,1.4,1.4
G03336,126.957376,37.403521,2.0,40.0,1.0,1.4,1.4
G02753,126.958507,37.396314,2.0,40.0,1.0,1.4,1.4
G02821,126.952853,37.397215,2.0,40.0,1.0,1.4,1.4
G03412,126.960768,37.404422,2.0,40.0,1.0,1.4,1.4
G03343,126.965291,37.403521,2.0,40.0,1.0,1.4,1.4
G02682,126.960768,37.395413,2.0,40.0,1.0,1.4,1.4
G03513,126.909883,37.406224,2.0,40.0,1.0,1.4,1.4
G02681,126.959637,37.395413,2.0,40.0,1.0,1.4,1.4
G03346,126.968684,37.403521,2.0,40.0,1.0,1.4,1.4
G02744,126.948329,37.396314,2.0,40.0,1.0,1.4,1.4
G02743,126.947199,37.396314,2.0,40.0,1.0,1.4,1.4
G01348,126.938152,37.379197,2.0,40.0,1.0,1.4,1.4
G02671,126.948329,37.395413,2.0,40.0,1.0,1.4,1.4
G03713,126.970945,37.408025,2.0,40.0,1.0,1.4,1.4
G02676,126.953983,37.395413,2.0,40.0,1.0,1.4,1.4
G02759,126.965291,37.396314,2.0,40.0,1.0,1.4,1.4
G03525,126.923452,37.406224,2.0,40.0,1.0,1.4,1.4
G03557,126.959637,37.406224,2.0,40.0,1.0,1.4,1.4
G03325,126.944937,37.403521,2.0,40.0,1.0,1.4,1.4
G04029,126.915536,37.41253,2.0,40.0,1.0,1.4,1.4
G03556,126.958507,37.406224,2.0,40.0,1.0,1.4,1.4
G02816,126.947199,37.397215,2.0,40.0,1.0,1.4,1.4
G02826,126.958507,37.397215,2.0,40.0,1.0,1.4,1.4
G04178,126.918929,37.414332,2.0,40.0,1.0,1.4,1.4
G02815,126.946068,37.397215,2.0,40.0,1.0,1.4,1.4
G02340,126.904229,37.391809,3.0,60.0,0.7928,1.3928,1.3928
G02504,126.924583,37.393611,2.0,40.0,0.9908,1.3908,1.3908
G02163,126.951722,37.389107,2.0,40.0,0.988,1.388,1.388
G02654,126.929106,37.395413,2.0,40.0,0.9868,1.3868,1.3868
G01776,126.926844,37.384602,5.0,150.0,0.3858,1.3858,1.3858
G02758,126.964161,37.396314,3.0,60.0,0.7797,1.3797,1.3797
G03629,126.958507,37.407125,2.0,40.0,0.9778,1.3778,1.3778
G03257,126.950591,37.40262,2.0,40.0,0.9755,1.3755,1.3755
G02685,126.964161,37.395413,2.0,40.0,0.9692,1.3692,1.3692
G03949,126.907621,37.411629,2.0,40.0,0.9686,1.3686,1.3686
G02413,126.904229,37.39271,4.0,100.0,0.5596,1.3596,1.3596
G02577,126.924583,37.394512,3.0,60.0,0.7571,1.3571,1.3571
G03449,126.92006,37.405323,3.0,60.0,0.752,1.352,1.352
G03117,126.957376,37.400818,2.0,40.0,0.9487,1.3487,1.3487
G03514,126.911013,37.406224,2.0,40.0,0.9461,1.3461,1.3461
G03241,126.932498,37.40262,2.0,40.0,0.9446,1.3446,1.3446
G04061,126.951722,37.41253,3.0,60.0,0.7443,1.3443,1.3443
G04100,126.913275,37.413431,4.0,100.0,0.5381,1.3381,1.3381
G02209,126.92119,37.390007,3.0,60.0,0.7306,1.3306,1.3306
G03092,126.929106,37.400818,3.0,60.0,0.7298,1.3298,1.3298
G03388,126.933629,37.404422,2.0,40.0,0.9296,1.3296,1.3296
G01756,126.904229,37.384602,3.0,60.0,0.7258,1.3258,1.3258
G03779,126.96303,37.408926,2.0,40.0,0.9153,1.3153,1.3153
G02297,126.938152,37.390908,2.0,40.0,0.9143,1.3143,1.3143
G02247,126.964161,37.390007,2.0,40.0,0.9046,1.3046,1.3046
G01421,126.938152,37.380098,3.0,60.0,0.703,1.303,1.303
G01755,126.903098,37.384602,3.0,60.0,0.702,1.302,1.302
G01703,126.926844,37.383701,4.0,100.0,0.5002,1.3002,1.3002
G03093,126.930237,37.400818,3.0,60.0,0.699,1.299,1.299
G02982,126.969814,37.399016,2.0,40.0,0.8945,1.2945,1.2945
G03738,126.916667,37.408926,4.0,100.0,0.4879,1.2879,1.2879
G02798,126.926844,37.397215,3.0,60.0,0.6845,1.2845,1.2845
G02733,126.935891,37.396314,3.0,60.0,0.6823,1.2823,1.2823
G02566,126.912144,37.394512,3.0,60.0,0.6805,1.2805,1.2805
G03326,126.946068,37.403521,2.0,40.0,0.8795,1.2795,1.2795
G02980,126.967553,37.399016,3.0,60.0,0.6788,1.2788,1.2788
G00919,126.948329,37.373791,2.0,40.0,0.8772,1.2772,1.2772
G03183,126.94946,37.401719,2.0,40.0,0.8767,1.2767,1.2767
G03615,126.942675,37.407125,3.0,60.0,0.6716,1.2716,1.2716
G03263,126.957376,37.40262,2.0,40.0,0.8698,1.2698,1.2698
G02960,126.944937,37.399016,3.0,60.0,0.6655,1.2655,1.2655
G02723,126.924583,37.396314,2.0,40.0,0.8638,1.2638,1.2638
G03231,126.92119,37.40262,3.0,60.0,0.6628,1.2628,1.2628
G03125,126.966422,37.400818,3.0,60.0,0.6536,1.2536,1.2536
G03524,126.922321,37.406224,2.0,40.0,0.8512,1.2512,1.2512
G03329,126.94946,37.403521,2.0,40.0,0.8481,1.2481,1.2481
G04133,126.950591,37.413431,2.0,40.0,0.848,1.248,1.248
G03703,126.959637,37.408025,2.0,40.0,0.84,1.24,1.24
G03339,126.960768,37.403521,2.0,40.0,0.8343,1.2343,1.2343
G03586,126.909883,37.407125,2.0,40.0,0.8299,1.2299,1.2299
G03335,126.956245,37.403521,2.0,40.0,0.8273,1.2273,1.2273
G03322,126.941545,37.403521,3.0,60.0,0.6257,1.2257,1.2257
G04173,126.913275,37.414332,4.0,100.0,0.4215,1.2215,1.2215
G03515,126.912144,37.406224,2.0,40.0,0.8202,1.2202,1.2202
G02326,126.970945,37.390908,2.0,40.0,0.8143,1.2143,1.2143
G01777,126.927975,37.384602,4.0,100.0,0.4125,1.2125,1.2125
G03014,126.923452,37.399917,2.0,40.0,0.8085,1.2085,1.2085
G03786,126.970945,37.408926,1.0,20.0,1.0,1.2,1.2
G02460,126.957376,37.39271,1.0,20.0,1.0,1.2,1.2
G02459,126.956245,37.39271,1.0,20.0,1.0,1.2,1.2
G02462,126.959637,37.39271,1.0,20.0,1.0,1.2,1.2
G02458,126.955114,37.39271,1.0,20.0,1.0,1.2,1.2
G02457,126.953983,37.39271,1.0,20.0,1.0,1.2,1.2
G02461,126.958507,37.39271,1.0,20.0,1.0,1.2,1.2
G03706,126.96303,37.408025,1.0,20.0,1.0,1.2,1.2
G02724,126.925714,37.396314,1.0,20.0,1.0,1.2,1.2
G02456,126.952853,37.39271,1.0,20.0,1.0,1.2,1.2
G03639,126.969814,37.407125,1.0,20.0,1.0,1.2,1.2
G02829,126.961899,37.397215,1.0,20.0,1.0,1.2,1.2
G02455,126.951722,37.39271,1.0,20.0,1.0,1.2,1.2
G02751,126.956245,37.396314,1.0,20.0,1.0,1.2,1.2
G03710,126.967553,37.408025,1.0,20.0,1.0,1.2,1.2
G03709,126.966422,37.408025,1.0,20.0,1.0,1.2,1.2
G02970,126.956245,37.399016,1.0,20.0,1.0,1.2,1.2
G02969,126.955114,37.399016,1.0,20.0,1.0,1.2,1.2
G02968,126.953983,37.399016,1.0,20.0,1.0,1.2,1.2
G02967,126.952853,37.399016,1.0,20.0,1.0,1.2,1.2
G03708,126.965291,37.408025,1.0,20.0,1.0,1.2,1.2
G03638,126.968684,37.407125,1.0,20.0,1.0,1.2,1.2
G02757,126.96303,37.396314,1.0,20.0,1.0,1.2,1.2
G02756,126.961899,37.396314,1.0,20.0,1.0,1.2,1.2
G02755,126.960768,37.396314,1.0,20.0,1.0,1.2,1.2
G02754,126.959637,37.396314,1.0,20.0,1.0,1.2,1.2
G02752,126.957376,37.396314,1.0,20.0,1.0,1.2,1.2
G02950,126.933629,37.399016,1.0,20.0,1.0,1.2,1.2
G02750,126.955114,37.396314,1.0,20.0,1.0,1.2,1.2
G03707,126.964161,37.408025,1.0,20.0,1.0,1.2,1.2
G03788,126.973207,37.408926,1.0,20.0,1.0,1.2,1.2
G02749,126.953983,37.396314,1.0,20.0,1.0,1.2,1.2
G03787,126.972076,37.408926,1.0,20.0,1.0,1.2,1.2
G02748,126.952853,37.396314,1.0,20.0,1.0,1.2,1.2
G03641,126.972076,37.407125,1.0,20.0,1.0,1.2,1.2
G02746,126.950591,37.396314,1.0,20.0,1.0,1.2,1.2
G02745,126.94946,37.396314,1.0,20.0,1.0,1.2,1.2
G02742,126.946068,37.396314,1.0,20.0,1.0,1.2,1.2
G02741,126.944937,37.396314,1.0,20.0,1.0,1.2,1.2
G03714,126.972076,37.408025,1.0,20.0,1.0,1.2,1.2
G02451,126.947199,37.39271,1.0,20.0,1.0,1.2,1.2
G03715,126.973207,37.408025,1.0,20.0,1.0,1.2,1.2
G02453,126.94946,37.39271,1.0,20.0,1.0,1.2,1.2
G02454,126.950591,37.39271,1.0,20.0,1.0,1.2,1.2
G02747,126.951722,37.396314,1.0,20.0,1.0,1.2,1.2
G02680,126.958507,37.395413,1.0,20.0,1.0,1.2,1.2
G02817,126.948329,37.397215,1.0,20.0,1.0,1.2,1.2
G02472,126.970945,37.39271,1.0,20.0,1.0,1.2,1.2
G02594,126.943806,37.394512,1.0,20.0,1.0,1.2,1.2
G02973,126.959637,37.399016,1.0,20.0,1.0,1.2,1.2
G02823,126.955114,37.397215,1.0,20.0,1.0,1.2,1.2
G02822,126.953983,37.397215,1.0,20.0,1.0,1.2,1.2
G02820,126.951722,37.397215,1.0,20.0,1.0,1.2,1.2
G02819,126.950591,37.397215,1.0,20.0,1.0,1.2,1.2
G02665,126.941545,37.395413,1.0,20.0,1.0,1.2,1.2
G02666,126.942675,37.395413,1.0,20.0,1.0,1.2,1.2
G02891,126.94946,37.398116,1.0,20.0,1.0,1.2,1.2
G02892,126.950591,37.398116,1.0,20.0,1.0,1.2,1.2
G02667,126.943806,37.395413,1.0,20.0,1.0,1.2,1.2
G02668,126.944937,37.395413,1.0,20.0,1.0,1.2,1.2
G02539,126.964161,37.393611,1.0,20.0,1.0,1.2,1.2
G02669,126.946068,37.395413,1.0,20.0,1.0,1.2,1.2
G02537,126.961899,37.393611,1.0,20.0,1.0,1.2,1.2
G02595,126.944937,37.394512,1.0,20.0,1.0,1.2,1.2
G02596,126.946068,37.394512,1.0,20.0,1.0,1.2,1.2
G02597,126.947199,37.394512,1.0,20.0,1.0,1.2,1.2
G02607,126.958507,37.394512,1.0,20.0,1.0,1.2,1.2
G02827,126.959637,37.397215,1.0,20.0,1.0,1.2,1.2
G02612,126.964161,37.394512,1.0,20.0,1.0,1.2,1.2
G02611,126.96303,37.394512,1.0,20.0,1.0,1.2,1.2
G02610,126.961899,37.394512,1.0,20.0,1.0,1.2,1.2
G02825,126.957376,37.397215,1.0,20.0,1.0,1.2,1.2
G02824,126.956245,37.397215,1.0,20.0,1.0,1.2,1.2
G02606,126.957376,37.394512,1.0,20.0,1.0,1.2,1.2
G02598,126.948329,37.394512,1.0,20.0,1.0,1.2,1.2
G02605,126.956245,37.394512,1.0,20.0,1.0,1.2,1.2
G02604,126.955114,37.394512,1.0,20.0,1.0,1.2,1.2
G02602,126.952853,37.394512,1.0,20.0,1.0,1.2,1.2
G02601,126.951722,37.394512,1.0,20.0,1.0,1.2,1.2
G02600,126.950591,37.394512,1.0,20.0,1.0,1.2,1.2
G02599,126.94946,37.394512,1.0,20.0,1.0,1.2,1.2
G02536,126.960768,37.393611,1.0,20.0,1.0,1.2,1.2
G02534,126.958507,37.393611,1.0,20.0,1.0,1.2,1.2
G02533,126.957376,37.393611,1.0,20.0,1.0,1.2,1.2
G03783,126.967553,37.408926,1.0,20.0,1.0,1.2,1.2
G02895,126.953983,37.398116,1.0,20.0,1.0,1.2,1.2
G02896,126.955114,37.398116,1.0,20.0,1.0,1.2,1.2
G03781,126.965291,37.408926,1.0,20.0,1.0,1.2,1.2
G02897,126.956245,37.398116,1.0,20.0,1.0,1.2,1.2
G03782,126.966422,37.408926,1.0,20.0,1.0,1.2,1.2
G02898,126.957376,37.398116,1.0,20.0,1.0,1.2,1.2
G02899,126.958507,37.398116,1.0,20.0,1.0,1.2,1.2
G02679,126.957376,37.395413,1.0,20.0,1.0,1.2,1.2
G02900,126.959637,37.398116,1.0,20.0,1.0,1.2,1.2
G02901,126.960768,37.398116,1.0,20.0,1.0,1.2,1.2
G02902,126.961899,37.398116,1.0,20.0,1.0,1.2,1.2
G02684,126.96303,37.395413,1.0,20.0,1.0,1.2,1.2
G02818,126.94946,37.397215,1.0,20.0,1.0,1.2,1.2
G02473,126.972076,37.39271,1.0,20.0,1.0,1.2,1.2
G02828,126.960768,37.397215,1.0,20.0,1.0,1.2,1.2
G02678,126.956245,37.395413,1.0,20.0,1.0,1.2,1.2
G02532,126.956245,37.393611,1.0,20.0,1.0,1.2,1.2
G02526,126.94946,37.393611,1.0,20.0,1.0,1.2,1.2
G02531,126.955114,37.393611,1.0,20.0,1.0,1.2,1.2
G02530,126.953983,37.393611,1.0,20.0,1.0,1.2,1.2
G02529,126.952853,37.393611,1.0,20.0,1.0,1.2,1.2
G02528,126.951722,37.393611,1.0,20.0,1.0,1.2,1.2
G02527,126.950591,37.393611,1.0,20.0,1.0,1.2,1.2
G02672,126.94946,37.395413,1.0,20.0,1.0,1.2,1.2
G02673,126.950591,37.395413,1.0,20.0,1.0,1.2,1.2
G02677,126.955114,37.395413,1.0,20.0,1.0,1.2,1.2
G02525,126.948329,37.393611,1.0,20.0,1.0,1.2,1.2
G02524,126.947199,37.393611,1.0,20.0,1.0,1.2,1.2
G02674,126.951722,37.395413,1.0,20.0,1.0,1.2,1.2
G02523,126.946068,37.393611,1.0,20.0,1.0,1.2,1.2
G02675,126.952853,37.395413,1.0,20.0,1.0,1.2,1.2
G02522,126.944937,37.393611,1.0,20.0,1.0,1.2,1.2
G02670,126.947199,37.395413,1.0,20.0,1.0,1.2,1.2
G02317,126.960768,37.390908,1.0,20.0,1.0,1.2,1.2
G02974,126.960768,37.399016,1.0,20.0,1.0,1.2,1.2
G02078,126.938152,37.388206,1.0,20.0,1.0,1.2,1.2
G02095,126.957376,37.388206,1.0,20.0,1.0,1.2,1.2
G02094,126.956245,37.388206,1.0,20.0,1.0,1.2,1.2
G02093,126.955114,37.388206,1.0,20.0,1.0,1.2,1.2
G02092,126.953983,37.388206,1.0,20.0,1.0,1.2,1.2
G02091,126.952853,37.388206,1.0,20.0,1.0,1.2,1.2
G03561,126.964161,37.406224,1.0,20.0,1.0,1.2,1.2
G03560,126.96303,37.406224,1.0,20.0,1.0,1.2,1.2
G03559,126.961899,37.406224,1.0,20.0,1.0,1.2,1.2
G03558,126.960768,37.406224,1.0,20.0,1.0,1.2,1.2
G02070,126.929106,37.388206,1.0,20.0,1.0,1.2,1.2
G03253,126.946068,37.40262,1.0,20.0,1.0,1.2,1.2
G02021,126.956245,37.387305,1.0,20.0,1.0,1.2,1.2
G02020,126.955114,37.387305,1.0,20.0,1.0,1.2,1.2
G02019,126.953983,37.387305,1.0,20.0,1.0,1.2,1.2
G03987,126.950591,37.411629,1.0,20.0,1.0,1.2,1.2
G04004,126.969814,37.411629,1.0,20.0,1.0,1.2,1.2
G03562,126.965291,37.406224,1.0,20.0,1.0,1.2,1.2
G03563,126.966422,37.406224,1.0,20.0,1.0,1.2,1.2
G03564,126.967553,37.406224,1.0,20.0,1.0,1.2,1.2
G03565,126.968684,37.406224,1.0,20.0,1.0,1.2,1.2
G02170,126.959637,37.389107,1.0,20.0,1.0,1.2,1.2
G02169,126.958507,37.389107,1.0,20.0,1.0,1.2,1.2
G02168,126.957376,37.389107,1.0,20.0,1.0,1.2,1.2
G02167,126.956245,37.389107,1.0,20.0,1.0,1.2,1.2
G02166,126.955114,37.389107,1.0,20.0,1.0,1.2,1.2
G02165,126.953983,37.389107,1.0,20.0,1.0,1.2,1.2
G02164,126.952853,37.389107,1.0,20.0,1.0,1.2,1.2
G03186,126.952853,37.401719,1.0,20.0,1.0,1.2,1.2
G02152,126.939283,37.389107,1.0,20.0,1.0,1.2,1.2
G02151,126.938152,37.389107,1.0,20.0,1.0,1.2,1.2
G03187,126.953983,37.401719,1.0,20.0,1.0,1.2,1.2
G03930,126.968684,37.410728,1.0,20.0,1.0,1.2,1.2
G03931,126.969814,37.410728,1.0,20.0,1.0,1.2,1.2
G03932,126.970945,37.410728,1.0,20.0,1.0,1.2,1.2
G03933,126.972076,37.410728,1.0,20.0,1.0,1.2,1.2
G04005,126.970945,37.411629,1.0,20.0,1.0,1.2,1.2
G03301,126.917798,37.403521,1.0,20.0,1.0,1.2,1.2
G03133,126.975468,37.400818,1.0,20.0,1.0,1.2,1.2
G03484,126.959637,37.405323,1.0,20.0,1.0,1.2,1.2
G03417,126.966422,37.404422,1.0,20.0,1.0,1.2,1.2
G03418,126.967553,37.404422,1.0,20.0,1.0,1.2,1.2
G03419,126.968684,37.404422,1.0,20.0,1.0,1.2,1.2
G03420,126.969814,37.404422,1.0,20.0,1.0,1.2,1.2
G03446,126.916667,37.405323,1.0,20.0,1.0,1.2,1.2
G03447,126.917798,37.405323,1.0,20.0,1.0,1.2,1.2
G03483,126.958507,37.405323,1.0,20.0,1.0,1.2,1.2
G03485,126.960768,37.405323,1.0,20.0,1.0,1.2,1.2
G03302,126.918929,37.403521,1.0,20.0,1.0,1.2,1.2
G03486,126.961899,37.405323,1.0,20.0,1.0,1.2,1.2
G03487,126.96303,37.405323,1.0,20.0,1.0,1.2,1.2
G03488,126.964161,37.405323,1.0,20.0,1.0,1.2,1.2
G03489,126.965291,37.405323,1.0,20.0,1.0,1.2,1.2
G03490,126.966422,37.405323,1.0,20.0,1.0,1.2,1.2
G03491,126.967553,37.405323,1.0,20.0,1.0,1.2,1.2
G03492,126.968684,37.405323,1.0,20.0,1.0,1.2,1.2
G03416,126.965291,37.404422,1.0,20.0,1.0,1.2,1.2
G03415,126.964161,37.404422,1.0,20.0,1.0,1.2,1.2
G03414,126.96303,37.404422,1.0,20.0,1.0,1.2,1.2
G04177,126.917798,37.414332,1.0,20.0,1.0,1.2,1.2
G03337,126.958507,37.403521,1.0,20.0,1.0,1.2,1.2
G04103,126.916667,37.413431,1.0,20.0,1.0,1.2,1.2
G04104,126.917798,37.413431,1.0,20.0,1.0,1.2,1.2
G03340,126.961899,37.403521,1.0,20.0,1.0,1.2,1.2
G03341,126.96303,37.403521,1.0,20.0,1.0,1.2,1.2
G03342,126.964161,37.403521,1.0,20.0,1.0,1.2,1.2
G03344,126.966422,37.403521,1.0,20.0,1.0,1.2,1.2
G03345,126.967553,37.403521,1.0,20.0,1.0,1.2,1.2
G03374,126.917798,37.404422,1.0,20.0,1.0,1.2,1.2
G03375,126.918929,37.404422,1.0,20.0,1.0,1.2,1.2
G03409,126.957376,37.404422,1.0,20.0,1.0,1.2,1.2
G03410,126.958507,37.404422,1.0,20.0,1.0,1.2,1.2
G03411,126.959637,37.404422,1.0,20.0,1.0,1.2,1.2
G03413,126.961899,37.404422,1.0,20.0,1.0,1.2,1.2
G04176,126.916667,37.414332,1.0,20.0,1.0,1.2,1.2
G02171,126.960768,37.389107,1.0,20.0,1.0,1.2,1.2
G02096,126.958507,37.388206,1.0,20.0,1.0,1.2,1.2
G03132,126.974338,37.400818,1.0,20.0,1.0,1.2,1.2
G03630,126.959637,37.407125,1.0,20.0,1.0,1.2,1.2
G02310,126.952853,37.390908,1.0,20.0,1.0,1.2,1.2
G02311,126.953983,37.390908,1.0,20.0,1.0,1.2,1.2
G02312,126.955114,37.390908,1.0,20.0,1.0,1.2,1.2
G02313,126.956245,37.390908,1.0,20.0,1.0,1.2,1.2
G02314,126.957376,37.390908,1.0,20.0,1.0,1.2,1.2
G02315,126.958507,37.390908,1.0,20.0,1.0,1.2,1.2
G02316,126.959637,37.390908,1.0,20.0,1.0,1.2,1.2
G03860,126.972076,37.409827,1.0,20.0,1.0,1.2,1.2
G03632,126.961899,37.407125,1.0,20.0,1.0,1.2,1.2
G03859,126.970945,37.409827,1.0,20.0,1.0,1.2,1.2
G03858,126.969814,37.409827,1.0,20.0,1.0,1.2,1.2
G03042,126.955114,37.399917,1.0,20.0,1.0,1.2,1.2
G03857,126.968684,37.409827,1.0,20.0,1.0,1.2,1.2
G03633,126.96303,37.407125,1.0,20.0,1.0,1.2,1.2
G03634,126.964161,37.407125,1.0,20.0,1.0,1.2,1.2
G03635,126.965291,37.407125,1.0,20.0,1.0,1.2,1.2
G03636,126.966422,37.407125,1.0,20.0,1.0,1.2,1.2
G03855,126.966422,37.409827,1.0,20.0,1.0,1.2,1.2
G03637,126.967553,37.407125,1.0,20.0,1.0,1.2,1.2
G02381,126.950591,37.391809,1.0,20.0,1.0,1.2,1.2
G02382,126.951722,37.391809,1.0,20.0,1.0,1.2,1.2
G02383,126.952853,37.391809,1.0,20.0,1.0,1.2,1.2
G02384,126.953983,37.391809,1.0,20.0,1.0,1.2,1.2
G02385,126.955114,37.391809,1.0,20.0,1.0,1.2,1.2
G02386,126.956245,37.391809,1.0,20.0,1.0,1.2,1.2
G02387,126.957376,37.391809,1.0,20.0,1.0,1.2,1.2
G02388,126.958507,37.391809,1.0,20.0,1.0,1.2,1.2
G02389,126.959637,37.391809,1.0,20.0,1.0,1.2,1.2
G02390,126.960768,37.391809,1.0,20.0,1.0,1.2,1.2
G03631,126.960768,37.407125,1.0,20.0,1.0,1.2,1.2
G03711,126.968684,37.408025,1.0,20.0,1.0,1.2,1.2
G02241,126.957376,37.390007,1.0,20.0,1.0,1.2,1.2
G02237,126.952853,37.390007,1.0,20.0,1.0,1.2,1.2
G02243,126.959637,37.390007,1.0,20.0,1.0,1.2,1.2
G02242,126.958507,37.390007,1.0,20.0,1.0,1.2,1.2
G02240,126.956245,37.390007,1.0,20.0,1.0,1.2,1.2
G02238,126.953983,37.390007,1.0,20.0,1.0,1.2,1.2
G02239,126.955114,37.390007,1.0,20.0,1.0,1.2,1.2
G02224,126.938152,37.390007,1.0,20.0,1.0,1.2,1.2
G02244,126.960768,37.390007,1.0,20.0,1.0,1.2,1.2
G03184,126.950591,37.401719,2.0,40.0,0.7967,1.1967,1.1967
G02248,126.965291,37.390007,2.0,40.0,0.7952,1.1952,1.1952
G02545,126.970945,37.393611,2.0,40.0,0.7947,1.1947,1.1947
G02978,126.965291,37.399016,4.0,100.0,0.3908,1.1908,1.1908
G02080,126.940414,37.388206,2.0,40.0,0.789,1.189,1.189
G03421,126.970945,37.404422,1.0,20.0,0.9878,1.1878,1.1878
G03439,126.908752,37.405323,2.0,40.0,0.7866,1.1866,1.1866
G02964,126.94946,37.399016,2.0,40.0,0.7855,1.1855,1.1855
G03044,126.957376,37.399917,2.0,40.0,0.7781,1.1781,1.1781
G03095,126.932498,37.400818,1.0,20.0,0.9732,1.1732,1.1732
G03338,126.959637,37.403521,1.0,20.0,0.9717,1.1717,1.1717
G00992,126.948329,37.374692,3.0,60.0,0.5708,1.1708,1.1708
G03517,126.914406,37.406224,1.0,20.0,0.9698,1.1698,1.1698
G02814,126.944937,37.397215,2.0,40.0,0.7682,1.1682,1.1682
G01634,126.931368,37.3828,2.0,40.0,0.768,1.168,1.168
G03442,126.912144,37.405323,2.0,40.0,0.7675,1.1675,1.1675
G01420,126.937022,37.380098,2.0,40.0,0.7669,1.1669,1.1669
G03106,126.944937,37.400818,2.0,40.0,0.7595,1.1595,1.1595
G04245,126.912144,37.415233,3.0,60.0,0.556,1.156,1.156
G02074,126.933629,37.388206,3.0,60.0,0.5546,1.1546,1.1546
G03519,126.916667,37.406224,1.0,20.0,0.9516,1.1516,1.1516
G03179,126.944937,37.401719,1.0,20.0,0.9482,1.1482,1.1482
G03260,126.953983,37.40262,1.0,20.0,0.9449,1.1449,1.1449
G03521,126.918929,37.406224,3.0,60.0,0.5407,1.1407,1.1407
G03766,126.948329,37.408926,4.0,100.0,0.3399,1.1399,1.1399
G03875,126.90649,37.410728,2.0,40.0,0.7392,1.1392,1.1392
G03593,126.917798,37.407125,3.0,60.0,0.5372,1.1372,1.1372
G03303,126.92006,37.403521,2.0,40.0,0.737,1.137,1.137
G02463,126.960768,37.39271,1.0,20.0,0.9307,1.1307,1.1307
G02727,126.929106,37.396314,3.0,60.0,0.5291,1.1291,1.1291
G02942,126.924583,37.399016,2.0,40.0,0.7261,1.1261,1.1261
G02590,126.939283,37.394512,3.0,60.0,0.526,1.126,1.126
G02069,126.927975,37.388206,1.0,20.0,0.9256,1.1256,1.1256
G03743,126.922321,37.408926,2.0,40.0,0.7248,1.1248,1.1248
G02804,126.933629,37.397215,3.0,60.0,0.5186,1.1186,1.1186
G02442,126.937022,37.39271,2.0,40.0,0.7183,1.1183,1.1183
G02399,126.970945,37.391809,2.0,40.0,0.7147,1.1147,1.1147
G02272,126.909883,37.390908,4.0,100.0,0.3142,1.1142,1.1142
G02373,126.941545,37.391809,2.0,40.0,0.7132,1.1132,1.1132
G02797,126.925714,37.397215,2.0,40.0,0.7106,1.1106,1.1106
G03961,126.92119,37.411629,4.0,100.0,0.31,1.11,1.11
